COURSE,TITLE,MEETING INFORMATION,FACULTY NAME,COMMENT
CJ-150-01,Intro to Homeland Security,08/24/22 12/09/22         LEC  MWF 09:00AM 09:50AM,Dr. M. Kirisci,Cross listed with HS-150
CJ-160-01,Criminal Law,08/24/22 12/09/22         LEC  TR 12:30PM 01:45PM,Dr. J. Moore,Cross listed with LG-160
CJ-203-01,Social Problems,08/24/22 12/09/22         LEC  TR 09:30AM 10:45AM,Mr. D. Seip,Cross listed with SO-203
CJ-220-01,Tactical Fitnesss Traning,08/24/22 12/09/22         LEC  MWF 11:00AM 11:50AM,Dr. C. Ellis,
CJ-250-01,Criminology,08/24/22 12/09/22         LEC  MWF 11:00AM 11:50AM,Dr. M. Bolger,
CJ-252-01,Drugs and Crime,08/24/22 12/09/22         LEC  MWF 10:00AM 10:50AM,Dr. J. Clutter,
CJ-260-01,Law Enforcement,08/24/22 12/09/22         LEC  MWF 10:00AM 10:50AM,Mr. D. Seip,
CJ-270-01,Digital Forensics I,08/24/22 12/09/22         LEC  TR 12:30PM 01:45PM,Mr. J. Walsh,
CJ-280-01,Corrections,08/24/22 12/09/22         LEC  MWF 12:00PM 12:50PM,Dr. M. Bolger,
CJ-305-01,Child Abuse and Neglect,08/24/22 12/09/22         LEC  MWF 08:00AM 08:50AM,Ms. D. Shoemaker,
CJ-355-01,Law in America,08/24/22 12/09/22         LEC  TR 09:30AM 10:45AM,Dr. J. Moore,Cross listed LG-355
CJ-360-01,Forensics&Crim. Investigation,08/24/22 12/09/22         LEC  MWF 01:00PM 01:50PM,Mr. D. Seip,
CJ-365-01,Criminal Procedure,08/24/22 12/09/22         LEC  TR 11:00AM 12:15PM,Dr. J. Moore,Cross listed with LG-365
CJ-375-01,White Collar Crime,08/24/22 12/09/22         LEC  TR 12:30PM 01:45PM,Mr. S. Weber,Cross listed with LG-375
CJ-453-01,Senior Seminar,08/24/22 12/09/22         LEC  MWF 12:00PM 12:50PM,Dr. J. Clutter,
CM-206-01,Public Speaking,08/24/22 12/09/22         LEC  MWF 01:00PM 01:50PM,Dr. G. Godbey,
CM-305-01,Persuasive Communication,08/24/22 12/09/22         LEC  MWF 10:00AM 10:50AM,Dr. K. Grasso,
CM-310-01,Fundamentals:Public Relations,08/24/22 12/09/22         LEC  MWF 02:00PM 02:50PM,Dr. G. Godbey,
CM-312-01,Creative Writing: Fiction,08/24/22 12/09/22         LEC  TR 12:30PM 01:45PM,,
CM-316-01,Publishing,08/24/22 12/09/22         LEC  TR 02:00PM 03:15PM,Ms. M. Ayala,
CM-365-01,Gender Communication,08/24/22 12/09/22         LEC  MWF 12:00PM 12:50PM,Dr. K. Grasso,
CS-105-01,Intro to Computer Applications,08/24/22 12/09/22         LEC  TR 12:30PM 01:45PM,Mrs. C. Borger,
CS-105-02,Intro to Computer Applications,08/24/22 12/09/22         LEC  TR 02:00PM 03:15PM,Mrs. C. Borger,
CS-105-03,Intro to Computer Applications,08/24/22 12/09/22         LEC  MWF 10:00AM 10:50AM,Mr. D. Zimmerman,
CS-115-01,Introduction to Python,08/24/22 12/09/22         LEC  MWF 10:00AM 10:50AM,,
,,08/24/22 12/09/22         LEC  M  03:00PM 04:00PM,,
CS-115-02,Introduction to Python,08/24/22 12/09/22         LEC  MWF 11:00AM 11:50AM,,
,,08/24/22 12/09/22         LEC  F  03:00PM 04:00PM,,
CS-119-01,Digital Art Story Development,08/24/22 12/09/22         LEC  MWF 10:00AM 10:50AM,Ms. K. Ruggles,
CS-222-01,Data Structures,08/24/22 12/09/22         LEC  TR 09:30AM 10:45AM,Dr. P. Gupta,
CS-230-01,Computer Architecture/Hardware,08/24/22 12/09/22         LEC  R  11:00AM 12:15PM,Mr. J. Walsh,Hybrid: meets in-person Thursdays
CS-260-01,Databases & Data Visualization,08/24/22 12/09/22         LEC  MWF 01:00PM 01:50PM,Dr. K. Ryan,
CS-270-01,Multimedia,08/24/22 12/09/22         LEC  MWF 01:00PM 01:50PM,Ms. K. Ruggles,
CS-280-01,Introduction to Data Science,08/24/22 12/09/22         LEC  TR 08:00AM 09:15AM,Dr. K. Ryan,
CS-321-01,Communication and Networking,08/24/22 12/09/22         LEC  TR 02:00PM 03:15PM,,
CS-333-01,Web & Mobile App Development,08/24/22 12/09/22         LEC  TR 09:30AM 10:45AM,,
CS-342-01,Digital Art II,08/24/22 12/09/22         LEC  MWF 11:00AM 11:50AM,Ms. K. Ruggles,
CS-360-01,Database Analysis & Design,08/24/22 12/09/22         LEC  TR 12:30PM 01:45PM,Dr. P. Gupta,
CS-370-01,Intro to Artificial Intel.,08/24/22 12/09/22         LEC  T  11:00AM 12:15PM,Dr. P. Gupta,Hybrid: meets in-person Tuesdays
CS-399-01,Computer Science Internship,08/24/22 12/09/22         LEC       ,,See Career Development Center
CS-425-01,3D Animation Production II,08/24/22 12/09/22         LEC  TR 02:00PM 03:15PM,Ms. K. Ruggles,
CS-475-01,Ethics and Technology,08/24/22 12/09/22         LEC  MWF 01:00PM 01:50PM,Dr. E. Hagan,VAL SEM
